user_name,content,lang,url,source,likeCount,retweetCount
YRadianto,"Indonesia vs Prancis. Ini bukan pertandingan sepak bola, tapi ekonomi.

Prancis, nih. Rasio utang terhadap PDB adalah : 113%. Indonesia, rasio utang terhadap PDB saat ini adalah 30,1%, menurun dibandingkan rasio triwulan lalu yang 31,8%. https://t.co/3JInpX49qr",in,https://twitter.com/YRadianto/status/1607345615951859712,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
ThisisAnugrah,"@Glazerscunt @SiaranBolaLive timnas terbaik nomer 1 di dunia asuhan sty hanya ingin berjumpa dgn lawan yg selevel &amp; sepadan, yaitu argentina &amp; prancis! 😎🙌🏼

itu sdh dibuktikan dalam pertandingan sore ini dgn mengobok-obok &amp; mengacak-acak salah satu timnas terkuat sepakbola, brunei.",in,https://twitter.com/ThisisAnugrah/status/1607345262984589316,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0
